O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
1.200000000000000000e+01,2.680769999999999875e+00,6.761899999999999855e-02,1.502094999999999958e+00,1.512553000000000036e+00,1.225986000000000020e+00,1.097700000000000065e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.864762999999999948e+00
1.200000000000000000e+01,2.614040999999999837e+00,7.367899999999999450e-02,1.628751000000000060e+00,1.513754000000000044e+00,1.154457000000000066e+00,1.531899999999999928e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.852643000000000040e+00
1.200000000000000000e+01,2.785775999999999808e+00,7.076999999999999957e-02,1.350997000000000003e+00,1.120395000000000030e+00,1.665842000000000045e+00,6.220999999999999967e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.858460999999999919e+00
1.200000000000000000e+01,2.870824999999999960e+00,5.903599999999999820e-02,1.187281999999999949e+00,2.027588999999999864e+00,8.478329999999999478e-01,7.433999999999999636e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.881928000000000045e+00
1.200000000000000000e+01,2.742272999999999961e+00,5.942700000000000066e-02,1.379634999999999945e+00,1.450482000000000049e+00,1.351822000000000079e+00,1.636100000000000054e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.881145999999999985e+00
1.200000000000000000e+01,2.843808999999999809e+00,6.581099999999999450e-02,1.231268999999999947e+00,1.869450000000000056e+00,9.790240000000000054e-01,1.063799999999999989e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.868379000000000012e+00
1.200000000000000000e+01,2.764504000000000072e+00,7.494599999999999873e-02,1.363628000000000062e+00,1.574187999999999921e+00,1.217543000000000042e+00,5.191000000000000301e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.850108000000000086e+00
1.200000000000000000e+01,2.570240000000000080e+00,1.024169999999999942e-01,1.723716999999999944e+00,1.425294000000000061e+00,1.171202000000000076e+00,7.130000000000000053e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.795166999999999957e+00
1.200000000000000000e+01,2.602307999999999844e+00,7.610500000000000598e-02,1.647882000000000069e+00,1.707659999999999956e+00,9.567940000000000333e-01,9.249999999999999542e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.847790000000000044e+00
1.200000000000000000e+01,2.901867000000000196e+00,5.262300000000000311e-02,1.139046000000000003e+00,2.039679000000000020e+00,8.572229999999999572e-01,9.561999999999999320e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.894752999999999910e+00
1.200000000000000000e+01,2.827074999999999783e+00,4.894799999999999846e-02,1.236758000000000024e+00,2.264043000000000028e+00,6.203359999999999985e-01,2.838999999999999944e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.902103000000000099e+00
1.200000000000000000e+01,2.659047999999999856e+00,9.704200000000000326e-02,1.551396999999999915e+00,1.342506999999999895e+00,1.349555000000000060e+00,4.519999999999999821e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.805916999999999994e+00
1.200000000000000000e+01,2.587830999999999992e+00,6.889000000000000679e-02,1.674995000000000012e+00,2.125297999999999909e+00,5.289890000000000425e-01,1.399700000000000076e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.862219000000000069e+00
1.200000000000000000e+01,2.565412999999999943e+00,1.147070000000000034e-01,1.727613000000000065e+00,1.562681999999999904e+00,1.013846000000000025e+00,1.573799999999999852e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.770585999999999993e+00
1.200000000000000000e+01,2.732463000000000086e+00,1.059390000000000054e-01,1.400940999999999992e+00,1.696668000000000065e+00,1.028351999999999933e+00,3.563800000000000301e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.788121999999999989e+00
1.200000000000000000e+01,2.920814000000000021e+00,4.436500000000000166e-02,1.112522000000000011e+00,1.949824999999999919e+00,9.691389999999999727e-01,3.334999999999999857e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.911270000000000024e+00
1.200000000000000000e+01,2.621812999999999949e+00,9.679799999999999516e-02,1.654285999999999923e+00,1.308632999999999935e+00,1.310100999999999960e+00,8.368999999999999703e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.806403999999999899e+00
1.200000000000000000e+01,2.755929000000000073e+00,1.013000000000000012e-01,1.395669000000000048e+00,9.375660000000000105e-01,1.801671999999999940e+00,7.863999999999999463e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.797400000000000109e+00
1.200000000000000000e+01,2.671095000000000219e+00,8.483899999999999775e-02,1.523641999999999941e+00,1.493468999999999935e+00,1.226304999999999978e+00,6.499999999999999702e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.830322000000000005e+00
1.200000000000000000e+01,2.635721000000000203e+00,7.664600000000000579e-02,1.587259999999999893e+00,1.797868999999999939e+00,8.945229999999999571e-01,7.981000000000000247e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.846708000000000016e+00
1.200000000000000000e+01,2.677481000000000222e+00,9.611200000000000299e-02,1.511854000000000031e+00,1.345361000000000029e+00,1.367715999999999932e+00,1.476000000000000098e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.807776999999999967e+00
1.200000000000000000e+01,2.841784999999999783e+00,4.855500000000000094e-02,1.226480999999999932e+00,1.856246999999999980e+00,1.011730999999999936e+00,1.520200000000000023e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.902889999999999970e+00
1.200000000000000000e+01,2.950058999999999987e+00,4.019799999999999762e-02,1.086926999999999977e+00,1.743322000000000038e+00,1.154015000000000013e+00,2.547800000000000065e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.919604000000000088e+00
1.200000000000000000e+01,2.567251000000000172e+00,1.133610000000000034e-01,1.726401000000000074e+00,1.424666999999999906e+00,1.153613999999999917e+00,1.470600000000000032e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.773279000000000050e+00
