O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
5.293082400000000121e+01,1.444814900000000080e+01,1.250920000000000087e-01,5.948349999999999582e+00,1.414835999999999983e+00,1.438560000000000061e+00,1.294099999999999938e-02,1.682269999999999877e-01,7.333000000000000629e-02,1.872068999999999983e+00,2.156762099999999904e+01
5.245353599999999972e+01,1.335025000000000084e+01,2.165140000000000120e-01,6.326538000000000217e+00,2.009249000000000063e+00,1.270936999999999983e+00,3.897300000000000070e-02,4.871559999999999779e-01,7.015050000000000452e-01,1.493945999999999996e+00,2.165139500000000083e+01
5.316050299999999851e+01,1.570577300000000065e+01,1.168619999999999937e-01,4.114414000000000016e+00,1.091444000000000081e+00,2.432046999999999848e+00,8.819999999999999715e-03,1.433210000000000039e-01,3.395599999999999730e-01,8.378759999999999541e-01,2.204937999999999931e+01
5.288476299999999952e+01,1.438117399999999968e+01,1.477439999999999864e-01,5.662085000000000257e+00,2.061903000000000041e+00,1.388362000000000096e+00,1.086400000000000039e-02,7.604500000000000148e-02,3.172159999999999980e-01,1.342735000000000012e+00,2.172710999999999970e+01
5.354327800000000082e+01,1.701634200000000163e+01,1.207919999999999966e-01,3.430502000000000162e+00,9.092369999999999619e-01,9.092369999999999619e-01,1.098099999999999944e-02,4.370490000000000208e-01,8.169950000000000268e-01,8.433500000000000441e-01,2.196223799999999926e+01
5.359784199999999998e+01,1.614137399999999900e+01,1.051770000000000066e-01,4.979785999999999824e+00,1.131183999999999967e+00,7.984830000000000538e-01,1.073200000000000022e-02,4.078299999999999981e-02,4.636350000000000193e-01,1.266410999999999953e+00,2.146459400000000173e+01
5.302293199999999729e+01,1.463584600000000080e+01,1.688669999999999893e-01,5.903929999999999900e+00,1.427886999999999906e+00,8.592980000000000063e-01,5.130099999999999938e-02,3.655220000000000136e-01,8.678479999999999528e-01,1.321010000000000018e+00,2.137556000000000012e+01
5.383093900000000076e+01,1.714521699999999882e+01,1.347619999999999929e-01,3.921142000000000127e+00,8.259609999999999452e-01,6.672900000000000498e-01,4.347000000000000169e-03,2.303999999999999937e-01,5.129650000000000043e-01,9.911539999999999795e-01,2.173582299999999989e+01
5.350904700000000247e+01,1.536306399999999961e+01,1.944690000000000030e-01,5.834075000000000344e+00,1.412573000000000079e+00,5.641739999999999533e-01,1.709600000000000009e-02,5.128900000000000126e-02,3.632940000000000058e-01,1.320680999999999994e+00,2.137023800000000051e+01
5.363107200000000319e+01,1.615786200000000150e+01,1.157350000000000045e-01,5.143767999999999674e+00,9.601699999999999680e-01,7.029819999999999958e-01,6.429999999999999952e-03,1.928900000000000059e-02,3.900689999999999991e-01,1.440255000000000063e+00,2.143236800000000031e+01
5.305247800000000069e+01,1.479174399999999956e+01,1.648350000000000093e-01,5.461233000000000004e+00,2.160201999999999956e+00,9.456309999999999993e-01,4.337999999999999842e-03,3.903999999999999831e-02,1.301300000000000026e-02,1.678711000000000064e+00,2.168877499999999969e+01
5.401349499999999892e+01,1.695468599999999881e+01,1.470180000000000098e-01,4.453794000000000253e+00,1.111285999999999996e+00,4.756480000000000152e-01,4.323999999999999719e-03,1.253980000000000095e-01,1.556669999999999998e-01,9.383240000000000469e-01,2.162035900000000055e+01
5.357556699999999950e+01,1.410165600000000019e+01,2.712669999999999804e-01,7.603875000000000384e+00,1.711713000000000040e+00,3.553799999999999737e-01,1.892599999999999838e-02,1.429930000000000090e-01,2.733689999999999731e-01,9.168389999999999596e-01,2.102841600000000000e+01
5.340761299999999778e+01,1.554592199999999913e+01,1.836810000000000109e-01,5.212227999999999639e+00,1.374368000000000034e+00,8.254850000000000243e-01,1.728800000000000128e-02,2.549930000000000252e-01,4.494790000000000174e-01,1.119375999999999927e+00,2.160956699999999842e+01
5.409356799999999765e+01,1.810192599999999885e+01,4.344100000000000045e-02,3.344968000000000163e+00,4.908850000000000158e-01,2.932279999999999887e-01,1.085999999999999986e-02,3.106039999999999912e-01,7.080910000000000259e-01,8.818550000000000555e-01,2.172057399999999916e+01
5.303502999999999901e+01,1.472312800000000088e+01,1.378409999999999913e-01,5.815161999999999942e+00,1.393485000000000085e+00,1.313795999999999964e+00,4.308000000000000197e-03,4.092200000000000004e-02,3.833699999999999886e-01,1.615323000000000064e+00,2.153763599999999911e+01
5.355509700000000350e+01,1.438742799999999988e+01,2.285369999999999902e-01,7.766094999999999970e+00,6.357479999999999798e-01,5.297899999999999832e-01,6.232999999999999825e-03,4.986299999999999760e-02,3.241069999999999784e-01,1.741035000000000110e+00,2.077606899999999968e+01
5.328555000000000064e+01,1.635283199999999937e+01,1.154270000000000018e-01,3.489433000000000007e+00,8.568200000000000260e-01,1.651486999999999927e+00,8.878999999999999740e-03,8.701379999999999670e-01,3.107639999999999847e-01,8.612600000000000255e-01,2.219741000000000142e+01
5.347276600000000002e+01,1.315413400000000088e+01,1.988340000000000107e-01,8.968256999999999479e+00,1.632098000000000049e+00,6.192860000000000031e-01,2.070999999999999924e-03,6.213999999999999906e-03,4.266650000000000165e-01,8.077640000000000375e-01,2.071190999999999960e+01
5.417717300000000336e+01,1.739100499999999982e+01,1.569270000000000109e-01,3.942534000000000205e+00,1.345706999999999987e+00,4.557350000000000012e-01,1.719800000000000148e-02,4.944300000000000084e-02,2.192689999999999917e-01,7.480930000000000080e-01,2.149691599999999880e+01
5.274468999999999852e+01,1.378172499999999978e+01,2.148359999999999992e-01,6.432188000000000017e+00,2.025903000000000009e+00,1.033360999999999974e+00,2.792899999999999897e-02,9.023100000000000565e-02,3.824080000000000257e-01,1.783137999999999890e+00,2.148359200000000158e+01
5.235187499999999972e+01,1.293442100000000039e+01,2.334420000000000106e-01,6.692007000000000261e+00,1.908605000000000107e+00,1.768108000000000013e+00,2.809999999999999998e-02,2.723490000000000077e-01,5.749589999999999979e-01,1.621126000000000067e+00,2.161500900000000058e+01
5.307278300000000115e+01,1.564972000000000030e+01,1.404350000000000043e-01,4.226213999999999693e+00,1.215640000000000054e+00,1.145423000000000080e+00,2.413699999999999873e-02,8.886899999999999800e-01,9.654899999999999594e-01,7.285059999999999869e-01,2.194296100000000038e+01
5.321151299999999651e+01,1.563812399999999947e+01,1.345679999999999932e-01,4.822750000000000092e+00,1.358703999999999912e+00,1.074375000000000080e+00,1.519299999999999991e-02,8.681800000000000628e-02,5.990450000000000497e-01,1.354363999999999901e+00,2.170454499999999953e+01
5.345474300000000056e+01,1.671217299999999994e+01,1.845569999999999988e-01,3.786674000000000095e+00,7.056590000000000362e-01,6.622339999999999893e-01,6.513999999999999825e-03,6.557199999999999696e-01,1.133396999999999988e+00,9.857510000000000439e-01,2.171257999999999910e+01
5.335551799999999645e+01,1.599344900000000003e+01,1.477050000000000030e-01,4.561488999999999905e+00,1.416233999999999993e+00,8.710269999999999957e-01,8.689000000000000543e-03,8.254100000000000326e-02,9.731180000000000385e-01,8.688550000000000439e-01,2.172137599999999935e+01
5.326486799999999988e+01,1.540834000000000081e+01,1.564619999999999900e-01,5.525483999999999618e+00,7.094399999999999595e-01,1.189543999999999935e+00,6.429999999999999952e-03,7.287299999999999334e-02,4.200909999999999922e-01,1.813250000000000028e+00,2.143321800000000010e+01
5.317731599999999759e+01,1.619196600000000075e+01,1.252300000000000080e-01,3.862344000000000221e+00,1.203961999999999977e+00,1.291841999999999935e+00,8.788000000000000672e-03,2.306860000000000022e-01,1.076535000000000020e+00,8.612279999999999935e-01,2.197010300000000171e+01
5.294462200000000252e+01,1.397622699999999973e+01,1.722539999999999905e-01,6.455204000000000164e+00,1.039981000000000044e+00,1.384487999999999941e+00,6.459999999999999597e-03,9.430880000000000374e-01,3.272820000000000173e-01,1.218693999999999944e+00,2.153170100000000176e+01
5.384869700000000137e+01,1.623691000000000173e+01,1.889510000000000078e-01,5.204743999999999815e+00,1.112235000000000085e+00,4.594949999999999868e-01,1.502999999999999996e-02,1.610379999999999867e-01,3.650189999999999824e-01,9.361669999999999714e-01,2.147171399999999863e+01
5.341447000000000145e+01,1.596855700000000056e+01,9.460300000000000653e-02,4.712950000000000195e+00,1.124486000000000097e+00,1.199737999999999971e+00,2.150099999999999928e-02,1.698550000000000060e-01,6.880220000000000224e-01,1.105134999999999978e+00,2.150068299999999866e+01
5.271393799999999885e+01,1.470489099999999993e+01,1.978040000000000076e-01,5.160296999999999912e+00,1.438971000000000000e+00,8.477320000000000411e-01,1.956300000000000053e-02,6.629699999999999482e-01,1.482444000000000095e+00,1.034667999999999921e+00,2.173671999999999827e+01
5.323963899999999683e+01,1.586119700000000066e+01,1.357679999999999998e-01,4.887661999999999729e+00,9.288279999999999870e-01,6.249660000000000215e-01,1.508499999999999945e-02,2.909320000000000239e-01,1.025805999999999996e+00,1.439575999999999967e+00,2.155054000000000158e+01
5.325820499999999669e+01,1.455109299999999983e+01,1.056259999999999977e-01,6.510811000000000348e+00,1.717484999999999928e+00,8.112110000000000154e-01,3.802599999999999730e-02,4.436299999999999966e-02,2.323780000000000012e-01,1.605520999999999976e+00,2.112528000000000006e+01
5.397986999999999824e+01,1.767167800000000000e+01,1.128210000000000046e-01,3.549523000000000206e+00,9.416219999999999590e-01,2.755440000000000111e-01,6.509000000000000029e-03,1.692319999999999935e-01,6.031590000000000007e-01,9.936930000000000485e-01,2.169635099999999994e+01
5.293650699999999887e+01,1.357241299999999917e+01,1.617010000000000114e-01,7.425661999999999985e+00,1.413311999999999902e+00,1.018509000000000109e+00,1.050000000000000065e-02,1.722009999999999930e-01,2.982020000000000226e-01,1.990817000000000059e+00,2.100017499999999870e+01
